t_day,t_month,t_year,Genre,views,likes,dislikes,comment_count
6,6,6,Howto & Style,148590,5182,169,356
13,13,13,Comedy,798810,58027,383,11075
5,5,5,Comedy,45037,1246,17,61
4,4,4,News & Politics,24772,215,7,203
8,8,8,Howto & Style,1504263,12959,1441,627
3,3,3,News & Politics,2232908,7101,6865,24228
6,6,6,Entertainment,301706,7495,283,713
4,4,4,Science & Technology,3643,159,1,20
4,4,4,Pets & Animals,29725,872,34,52
5,5,5,Autos & Vehicles,58519,381,4,51
2,2,2,Travel & Events,55599,268,38,25
2,2,2,Science & Technology,3735,139,1,42
2,2,2,Entertainment,100757,3331,28,387
5,5,5,Science & Technology,111950,2268,103,268
3,3,3,Science & Technology,51981,2460,34,383
1,1,1,Science & Technology,5584,38,2,10
10,10,10,Sports,458952,2373,1477,696
9,9,9,Howto & Style,134881,5954,304,604
12,12,12,Film & Animation,1536968,63353,1489,4738
1,1,1,Comedy,239226,6932,341,454
13,13,13,Music,629744,38777,630,4892
4,4,4,Film & Animation,65758,4691,418,1033
7,7,7,Entertainment,3601697,112597,4090,8345
6,6,6,Howto & Style,123804,4136,463,519
4,4,4,News & Politics,10836,41,17,229
6,6,6,Gaming,834208,28778,813,2685
8,8,8,Howto & Style,54155921,378111,66632,24679
9,9,9,Entertainment,5389292,28418,1138,4565
22,22,22,Education,2252933,129865,1550,6673
9,9,9,Howto & Style,1452367,40782,1469,999
2,2,2,Howto & Style,100613,2870,116,576
3,3,3,Howto & Style,297209,10005,413,852
2,2,2,Howto & Style,99495,2837,148,461
3,3,3,Howto & Style,113493,4842,101,946
6,6,6,People & Blogs,333820,14082,229,783
6,6,6,Science & Technology,1251577,28951,1146,3827
6,6,6,Entertainment,719133,12912,657,986
7,7,7,Science & Technology,2305543,43982,3606,6400
9,9,9,Science & Technology,720795,17477,1292,3454
7,7,7,Music,3738646,262753,2490,31844
12,12,12,Music,8025153,381842,3939,27379
13,13,13,Music,633790,53429,346,3777
8,8,8,Pets & Animals,174504,11738,78,1093
5,5,5,Science & Technology,1063356,20974,3382,4239
2,2,2,Entertainment,127404,3869,56,111
10,10,10,Entertainment,2249743,60498,1614,5478
6,6,6,Entertainment,9595,46,92,26
5,5,5,Education,294810,8305,211,886
2,2,2,Howto & Style,21416,660,13,38
9,9,9,Comedy,935511,42743,1766,4025
7,7,7,Howto & Style,368859,7315,209,183
9,9,9,Nonprofits & Activism,333587,10918,161,613
3,3,3,Howto & Style,491613,21995,285,962
7,7,7,Sports,1134166,12610,1533,1482
14,14,14,Education,563514,14935,878,1278
4,4,4,Entertainment,797798,20083,345,1205
5,5,5,People & Blogs,305141,21855,89,976
10,10,10,People & Blogs,3602906,54034,461,2586
7,7,7,Entertainment,223020,2648,170,357
6,6,6,Howto & Style,5712641,41838,5365,3286
1,1,1,News & Politics,20797,78,8,24
13,13,13,Science & Technology,1566455,27236,1586,4704
6,6,6,Howto & Style,2046312,55218,1503,19222
3,3,3,Film & Animation,26735,676,9,56
2,2,2,People & Blogs,8795,23,1,1
2,2,2,Entertainment,3508169,1509,162,504
4,4,4,Science & Technology,957071,20469,910,2780
4,4,4,Howto & Style,295048,2338,2221,499
6,6,6,News & Politics,33761,149,45,245
7,7,7,News & Politics,1189824,6781,1218,3630
11,11,11,Travel & Events,593001,15013,442,3008
2,2,2,Travel & Events,31990,265,30,88
6,6,6,Travel & Events,81011,443,133,116
13,13,13,Travel & Events,1361890,42447,2396,13631
7,7,7,Entertainment,156712,2456,191,755
11,11,11,People & Blogs,1776352,161751,1974,11742
7,7,7,People & Blogs,1524569,43346,924,2692
6,6,6,Entertainment,802455,35151,337,1462
8,8,8,Entertainment,1800483,118254,2088,5422
5,5,5,Entertainment,6197393,476724,4853,23008
1,1,1,Entertainment,151767,8473,63,573
5,5,5,Science & Technology,188957,7394,75,680
12,12,12,News & Politics,1277833,6447,1167,9973
9,9,9,Howto & Style,96756,1277,247,120
14,14,14,Science & Technology,1080339,22984,1407,3393
10,10,10,Science & Technology,1029906,19025,1187,2271
4,4,4,Travel & Events,356075,5627,184,361
13,13,13,Entertainment,566497,32310,354,4048
6,6,6,Education,979732,29038,1121,2584
8,8,8,Science & Technology,1367551,28986,1530,3857
7,7,7,Film & Animation,47752,5488,61,180
3,3,3,Pets & Animals,56819,3051,32,271
5,5,5,Howto & Style,1244190,79689,1940,8436
4,4,4,Howto & Style,5917100,51231,9165,6613
8,8,8,Entertainment,399330,28910,365,1517
5,5,5,Howto & Style,287677,14261,536,1028
6,6,6,Howto & Style,505086,21628,988,3064
1,1,1,Science & Technology,89132,1981,7,87
5,5,5,Entertainment,128002,1939,253,266
8,8,8,Comedy,626684,21085,747,2919
14,14,14,Science & Technology,576742,25929,1031,5380
2,2,2,Entertainment,193832,1351,25,128
2,2,2,News & Politics,12039,112,91,253
13,13,13,Pets & Animals,801597,16086,182,1102
18,18,18,Howto & Style,2766173,131489,2851,11456
6,6,6,Education,280619,12462,404,790
6,6,6,Entertainment,534291,4993,181,0
3,3,3,Science & Technology,704426,23570,971,3960
14,14,14,Entertainment,664716,7808,1840,3850
1,1,1,Entertainment,2337251,53095,2713,6810
4,4,4,Comedy,1747480,131130,2896,10232
5,5,5,Pets & Animals,48037,2167,44,401
6,6,6,Science & Technology,230399,5208,37,417
3,3,3,Entertainment,2164847,58951,1930,7955
4,4,4,Education,304485,4420,317,515
9,9,9,Film & Animation,4499836,16135,432,2809
6,6,6,Music,458155,30624,270,2065
2,2,2,Science & Technology,554157,29216,388,2100
4,4,4,Entertainment,252785,1684,293,290
7,7,7,Entertainment,4570970,61664,1872,8155
3,3,3,Entertainment,177098,637,26,73
12,12,12,Education,3102346,189767,5773,21031
7,7,7,Entertainment,633241,18196,349,1599
5,5,5,Howto & Style,265799,14179,384,1870
2,2,2,Entertainment,560649,4982,1396,912
5,5,5,Education,260902,13029,245,634
6,6,6,People & Blogs,346931,5995,818,631
10,10,10,Entertainment,6183923,135311,8106,13501
6,6,6,Travel & Events,326955,7248,129,575
12,12,12,Entertainment,224803,6774,1050,1550
1,1,1,Pets & Animals,46571,4250,16,408
3,3,3,Howto & Style,525210,24412,1259,1860
6,6,6,Film & Animation,75279,3424,77,108
1,1,1,Comedy,139989,9122,120,772
9,9,9,Film & Animation,1851372,50638,673,1525
7,7,7,Howto & Style,1130995,48881,736,6740
17,17,17,Entertainment,309062,2725,361,744
9,9,9,Film & Animation,2358051,24368,5513,5622
6,6,6,News & Politics,10579,144,20,12
5,5,5,Education,467994,16667,358,868
7,7,7,Film & Animation,2627504,46902,5537,12297
5,5,5,Pets & Animals,642935,25897,229,2174
4,4,4,People & Blogs,452811,49608,665,7885
5,5,5,Science & Technology,54813,2462,139,305
2,2,2,People & Blogs,87215,407,27,140
5,5,5,Sports,264249,2027,1773,1934
7,7,7,Film & Animation,83301,2636,65,201
13,13,13,Education,656819,11856,433,1630
1,1,1,Comedy,138674,1906,50,143
8,8,8,Entertainment,479182,36495,162,2557
9,9,9,People & Blogs,6647081,232199,13512,16300
1,1,1,Entertainment,586498,1367,117,169
13,13,13,Film & Animation,1503335,25423,369,963
3,3,3,Entertainment,1188770,53270,765,5402
6,6,6,Entertainment,945446,25255,1985,3034
6,6,6,Entertainment,1969648,49503,3728,16980
7,7,7,Entertainment,3933195,138687,5589,8736
1,1,1,People & Blogs,321053,4451,1772,895
5,5,5,Howto & Style,483009,28906,381,1857
1,1,1,Sports,845763,17929,502,2325
2,2,2,Sports,1057014,18934,692,2157
5,5,5,Sports,905126,15532,421,1412
1,1,1,Gaming,218855,7032,77,487
7,7,7,Film & Animation,496386,1829,740,245
7,7,7,Pets & Animals,181521,6742,179,771
10,10,10,Howto & Style,231946,10381,90,539
8,8,8,Entertainment,1257362,7969,1309,1652
7,7,7,People & Blogs,5875258,263740,6570,14042
1,1,1,Science & Technology,10891,771,5,79
2,2,2,Music,29352,1610,9,155
23,23,23,Travel & Events,802184,15132,521,1761
6,6,6,Travel & Events,386697,13606,440,2654
1,1,1,People & Blogs,183369,11717,92,548
6,6,6,People & Blogs,1120115,61553,622,2623
2,2,2,People & Blogs,2984785,306711,1836,63948
8,8,8,Pets & Animals,1417253,44358,893,7271
6,6,6,Comedy,637045,26635,972,1922
2,2,2,News & Politics,296315,1322,46,129
6,6,6,Science & Technology,983147,23112,962,6097
5,5,5,Science & Technology,2588376,83603,1225,3736
7,7,7,Comedy,3185320,204175,1810,8675
16,16,16,Music,1152468,38426,937,1961
13,13,13,Entertainment,770953,51169,491,5511
13,13,13,People & Blogs,1656235,98896,8019,11137
7,7,7,Entertainment,1426321,32986,2012,8859
5,5,5,Entertainment,506152,38187,841,2285
5,5,5,Entertainment,167733,13662,272,538
3,3,3,Entertainment,4744,2,0,1
3,3,3,Comedy,134740,9652,90,473
15,15,15,Music,1309380,68539,996,5932
3,3,3,News & Politics,3996,45,6,24
1,1,1,Entertainment,148659,2325,136,197
18,18,18,Music,29075706,304469,14239,10190
3,3,3,Science & Technology,45561,1847,56,233
7,7,7,Entertainment,207902,2939,96,285
5,5,5,Entertainment,219805,5580,115,334
1,1,1,Entertainment,355917,7218,213,763
17,17,17,Sports,782123,11027,941,1555
5,5,5,Entertainment,1310832,16488,540,710
15,15,15,Howto & Style,1170696,34500,5272,5999
10,10,10,Howto & Style,338651,16038,354,533
4,4,4,Entertainment,693408,10857,2784,2183
16,16,16,Entertainment,614692,8650,398,826
11,11,11,Entertainment,293591,4088,165,382
9,9,9,Science & Technology,168103,5424,49,275
6,6,6,Entertainment,354807,6326,158,326
11,11,11,Entertainment,1130020,22377,823,1088
10,10,10,Entertainment,330457,2389,407,473
16,16,16,Entertainment,1128733,12919,634,1000
6,6,6,News & Politics,2232,12,3,19
7,7,7,Entertainment,711576,19309,522,617
6,6,6,Entertainment,9078,28,9,85
1,1,1,Entertainment,89627,1152,27,353
1,1,1,Entertainment,169684,1680,277,688
2,2,2,News & Politics,1233,32,4,49
6,6,6,Education,48033,1732,145,327
2,2,2,People & Blogs,70828,613,6,119
5,5,5,Comedy,1286392,58513,1174,5366
7,7,7,Comedy,1287432,50489,1490,3259
5,5,5,Comedy,1882458,17991,1611,2786
5,5,5,News & Politics,16990,111,71,203
7,7,7,Comedy,4030247,151414,11225,8236
3,3,3,Music,935744,37129,622,2673
5,5,5,Music,809063,40638,746,3704
6,6,6,Music,1352763,75000,955,6365
15,15,15,Music,5758360,169384,4454,10716
7,7,7,Entertainment,366408,8569,242,434
1,1,1,Science & Technology,2367,55,1,4
1,1,1,Entertainment,436730,283,22,33
7,7,7,Entertainment,639391,19953,548,1422
5,5,5,Howto & Style,838549,24953,1469,4582
8,8,8,Entertainment,4082949,8643,829,718
6,6,6,People & Blogs,157975,1950,81,136
4,4,4,People & Blogs,81165,602,66,388
3,3,3,Comedy,41944,665,73,72
1,1,1,Music,95944,1354,181,117
5,5,5,Entertainment,321580,2595,142,241
1,1,1,Comedy,293147,4165,90,291
7,7,7,Entertainment,47701,1337,332,639
1,1,1,Sports,529609,4330,206,864
16,16,16,People & Blogs,1004615,53282,814,9743
1,1,1,Comedy,106288,1384,42,157
11,11,11,Music,320276,9538,337,464
7,7,7,Film & Animation,6185841,52629,7412,13915
7,7,7,Sports,14107720,356297,7889,27012
4,4,4,Music,28607,2098,91,359
9,9,9,Sports,519485,4658,174,1620
8,8,8,Entertainment,198160,523,339,379
3,3,3,Music,298421,16088,245,1518
3,3,3,Entertainment,227162,4836,60,268
2,2,2,Science & Technology,4497,113,4,16
1,1,1,Sports,390622,3322,367,755
2,2,2,Sports,648598,4757,233,1535
7,7,7,Entertainment,1042283,9260,195,583
7,7,7,Entertainment,814925,9241,429,951
7,7,7,Gaming,173700,2874,109,395
17,17,17,Howto & Style,2741354,93731,2221,11885
3,3,3,News & Politics,111077,567,38,102
14,14,14,Sports,1119772,3603,913,1468
3,3,3,People & Blogs,1071341,19942,876,991
8,8,8,Gaming,2959424,41673,3316,5791
4,4,4,Entertainment,997873,7330,206,420
5,5,5,Education,27997,366,22,14
5,5,5,Entertainment,108297,232,184,0
6,6,6,Science & Technology,231108,3118,238,366
7,7,7,News & Politics,213764,2168,906,1449
3,3,3,News & Politics,345269,2707,65,374
4,4,4,News & Politics,13189,103,61,57
2,2,2,Film & Animation,15476,34,1,10
2,2,2,Comedy,540998,12917,3699,2908
3,3,3,Entertainment,283808,3295,278,423
6,6,6,Entertainment,485303,4389,164,499
7,7,7,People & Blogs,83369,1237,526,313
6,6,6,Education,877102,15480,2421,7843
4,4,4,Gaming,21199,151,12,12
1,1,1,People & Blogs,225107,5466,468,999
12,12,12,News & Politics,285483,1755,1087,2703
4,4,4,News & Politics,166627,542,144,512
5,5,5,News & Politics,330827,1255,436,3185
8,8,8,News & Politics,144773,430,199,330
1,1,1,News & Politics,51961,275,167,635
2,2,2,Entertainment,883599,11648,2441,1307
1,1,1,Entertainment,270177,3621,1200,372
8,8,8,Entertainment,275455,2074,664,385
14,14,14,Entertainment,834067,11876,472,2079
17,17,17,News & Politics,2238723,22055,7332,3691
7,7,7,Science & Technology,321277,16503,118,1164
2,2,2,Howto & Style,1879,32,2,38
11,11,11,Entertainment,4678751,53469,4330,0
1,1,1,Entertainment,783794,10038,2827,1566
12,12,12,Comedy,1106875,10862,2666,2193
5,5,5,News & Politics,2849993,37374,2762,9559
3,3,3,Sports,124175,2734,38,439
12,12,12,Film & Animation,675659,5335,112,362
7,7,7,Film & Animation,1301742,17113,260,1873
3,3,3,News & Politics,85322,645,261,1093
6,6,6,Sports,339187,8797,223,995
9,9,9,Science & Technology,951655,15705,1363,4182
10,10,10,Sports,483048,10086,176,653
6,6,6,Entertainment,48907,160,265,250
2,2,2,Music,41251,1561,29,96
1,1,1,Howto & Style,123251,3601,149,400
9,9,9,Howto & Style,147863,4030,115,374
13,13,13,Film & Animation,279585,4658,194,192
7,7,7,Entertainment,322783,4357,178,728
7,7,7,Entertainment,66239,750,124,222
3,3,3,Pets & Animals,46260,2286,35,17
6,6,6,Entertainment,2086,9,0,0
3,3,3,People & Blogs,34156,2948,18,235
7,7,7,Comedy,17758014,865679,25934,45223
1,1,1,News & Politics,158778,1334,676,677
1,1,1,Entertainment,827474,18845,460,682
1,1,1,Comedy,1141627,18848,665,1231
7,7,7,Howto & Style,107255,4092,74,165
9,9,9,Entertainment,351717,3489,501,1196
11,11,11,Entertainment,1517477,15808,865,1354
5,5,5,Music,542957,23890,186,919
4,4,4,Education,2563098,1570,16,73
7,7,7,Film & Animation,5376583,32001,3025,5050
7,7,7,Film & Animation,253965,2444,437,1249
8,8,8,Comedy,245217,25261,180,1657
11,11,11,News & Politics,1015745,10000,1034,3127
6,6,6,Music,2034980,148529,1844,7272
1,1,1,Comedy,71425,1130,37,85
5,5,5,People & Blogs,160409,20169,81,2799
6,6,6,Science & Technology,122141,841,250,119
4,4,4,Entertainment,76714,2166,116,917
5,5,5,Gaming,2597509,44981,5871,7791
2,2,2,Sports,96399,1363,31,612
2,2,2,Entertainment,260410,5156,68,515
